freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.417e+02,8.576e+01,2.777e+02,6.052e+02
1.6,3.743e+02,1.272e+02,5.332e+02,1.035e+03
3.1,2.747e+02,1.072e+02,5.611e+02,9.430e+02
4.7,6.198e+02,1.041e+02,5.783e+02,1.302e+03
6.3,1.517e+03,1.028e+02,5.820e+02,2.202e+03
7.8,2.300e+03,1.111e+02,5.881e+02,2.999e+03
9.4,3.211e+03,1.132e+02,5.788e+02,3.903e+03
10.9,4.367e+03,1.139e+02,5.645e+02,5.046e+03
12.5,5.734e+03,1.183e+02,6.098e+02,6.462e+03
14.1,7.416e+03,1.406e+02,5.407e+02,8.097e+03
15.6,8.081e+03,1.647e+02,5.418e+02,8.788e+03
17.2,9.278e+03,1.988e+02,6.177e+02,1.009e+04
18.8,1.192e+04,2.790e+02,6.844e+02,1.288e+04
20.3,1.467e+04,3.826e+02,8.181e+02,1.587e+04
21.9,1.694e+04,4.921e+02,9.537e+02,1.839e+04
23.5,2.052e+04,1.536e+03,1.590e+03,2.364e+04
25.0,2.471e+04,3.288e+03,2.416e+03,3.041e+04
26.6,2.481e+04,1.549e+03,1.413e+03,2.777e+04
28.1,2.572e+04,1.032e+03,1.185e+03,2.794e+04
29.7,2.876e+04,1.595e+03,1.543e+03,3.190e+04
31.3,3.753e+04,2.754e+03,2.165e+03,4.245e+04
32.8,5.343e+04,1.016e+04,4.672e+03,6.826e+04
34.4,6.825e+04,2.271e+04,8.454e+03,9.942e+04
36.0,7.601e+04,2.806e+04,1.031e+04,1.144e+05
37.5,7.802e+04,3.017e+04,1.064e+04,1.188e+05
39.1,7.950e+04,3.256e+04,1.092e+04,1.230e+05
40.7,8.938e+04,3.992e+04,1.645e+04,1.458e+05
42.2,9.733e+04,5.255e+04,2.059e+04,1.705e+05
43.8,1.066e+05,5.888e+04,2.179e+04,1.872e+05
45.3,1.154e+05,5.995e+04,2.528e+04,2.006e+05
46.9,1.171e+05,5.439e+04,2.877e+04,2.003e+05
48.5,1.092e+05,4.706e+04,2.773e+04,1.840e+05
50.0,1.022e+05,4.942e+04,2.603e+04,1.776e+05
51.6,1.053e+05,6.437e+04,2.734e+04,1.970e+05
53.2,1.146e+05,8.139e+04,3.216e+04,2.282e+05
54.7,1.322e+05,7.863e+04,4.259e+04,2.534e+05
56.3,1.342e+05,5.375e+04,5.320e+04,2.411e+05
57.8,1.190e+05,3.414e+04,5.625e+04,2.094e+05
59.4,1.008e+05,2.338e+04,5.831e+04,1.824e+05
61.0,8.568e+04,1.601e+04,6.118e+04,1.629e+05
