freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.390e+01,5.794e+01,2.472e+01,9.656e+01
1.6,5.454e+01,1.026e+02,7.158e+01,2.288e+02
3.1,6.597e+01,9.706e+01,8.009e+01,2.431e+02
4.7,7.116e+01,9.315e+01,7.895e+01,2.433e+02
6.3,6.702e+01,9.459e+01,7.579e+01,2.374e+02
7.8,6.635e+01,9.970e+01,8.666e+01,2.527e+02
9.4,7.601e+01,9.363e+01,1.665e+02,3.361e+02
10.9,1.443e+02,1.005e+02,3.957e+02,6.405e+02
12.5,3.433e+02,1.007e+02,4.337e+02,8.777e+02
14.1,9.050e+02,9.312e+01,3.885e+02,1.387e+03
15.6,8.243e+02,9.648e+01,6.725e+02,1.593e+03
17.2,2.620e+02,9.083e+01,6.347e+02,9.876e+02
18.8,1.240e+02,9.385e+01,5.132e+02,7.311e+02
20.3,9.703e+01,1.001e+02,4.528e+02,6.499e+02
21.9,8.038e+01,1.121e+02,4.451e+02,6.375e+02
23.5,8.608e+01,1.970e+02,8.607e+02,1.144e+03
25.0,1.077e+02,3.624e+02,1.371e+03,1.841e+03
26.6,1.506e+02,7.403e+02,1.798e+03,2.689e+03
28.1,2.656e+02,1.588e+03,2.855e+03,4.708e+03
29.7,4.195e+02,2.823e+03,6.113e+03,9.356e+03
31.3,1.284e+03,1.294e+04,2.496e+04,3.919e+04
32.8,2.869e+03,3.754e+04,4.054e+04,8.094e+04
34.4,1.939e+03,3.267e+04,1.757e+04,5.218e+04
36.0,9.340e+02,1.948e+04,3.782e+03,2.419e+04
37.5,9.012e+02,1.571e+04,9.136e+02,1.752e+04
39.1,9.138e+02,2.163e+04,8.759e+02,2.342e+04
40.7,9.046e+02,2.828e+04,7.655e+02,2.995e+04
42.2,7.348e+02,3.218e+04,3.660e+02,3.328e+04
43.8,3.561e+02,4.188e+04,2.034e+02,4.244e+04
45.4,4.308e+02,5.114e+04,3.627e+02,5.193e+04
46.9,5.507e+02,4.909e+04,7.530e+02,5.039e+04
48.5,5.454e+02,4.839e+04,1.680e+03,5.061e+04
50.0,5.470e+02,5.000e+04,3.001e+03,5.355e+04
51.6,8.804e+02,5.532e+04,4.582e+03,6.078e+04
53.2,2.280e+03,7.458e+04,8.154e+03,8.501e+04
54.7,5.886e+03,1.155e+05,1.488e+04,1.363e+05
56.3,8.703e+03,1.344e+05,1.644e+04,1.596e+05
57.9,9.215e+03,1.279e+05,1.240e+04,1.496e+05
59.4,8.390e+03,1.043e+05,7.247e+03,1.199e+05
61.0,6.717e+03,7.434e+04,3.480e+03,8.453e+04
62.6,5.023e+03,4.783e+04,1.425e+03,5.427e+04
64.1,3.642e+03,3.132e+04,6.328e+02,3.559e+04
65.7,2.968e+03,2.014e+04,4.036e+02,2.351e+04
67.2,4.921e+03,9.162e+03,4.448e+02,1.453e+04
68.8,1.044e+04,2.796e+03,6.011e+02,1.383e+04
70.4,1.041e+04,5.598e+03,6.721e+02,1.668e+04
71.9,7.939e+03,9.555e+03,1.059e+03,1.855e+04
73.5,5.621e+03,1.103e+04,1.366e+03,1.802e+04
75.1,5.155e+03,1.182e+04,1.572e+03,1.855e+04
76.6,6.245e+03,1.392e+04,2.192e+03,2.236e+04
